file_path,author
/home/aiadmin/Desktop/datasets/bigText/Veblen__Thorstein/833_TheTheoryof.txt,Veblen__Thorstein
/home/aiadmin/Desktop/datasets/bigText/Veblen__Thorstein/69888_Theinstinctof.txt,Veblen__Thorstein
/home/aiadmin/Desktop/datasets/bigText/Veblen__Thorstein/39949_ThePlaceof.txt,Veblen__Thorstein
/home/aiadmin/Desktop/datasets/bigText/Greville__Charles/46310_TheGrevilleMemoirs.txt,Greville__Charles
/home/aiadmin/Desktop/datasets/bigText/Three_Initiates/14209_TheKybalion.txt,Three_Initiates
/home/aiadmin/Desktop/datasets/bigText/Nägeli__Carl/33514_AMechanicoPhysiologicalTheory.txt,Nägeli__Carl
/home/aiadmin/Desktop/datasets/bigText/Hobbs__William_Herbert/50671_EarthFeaturesand.txt,Hobbs__William_Herbert
/home/aiadmin/Desktop/datasets/bigText/Casilliano__Michael/49829_TheGeologicalHistory.txt,Casilliano__Michael
/home/aiadmin/Desktop/datasets/bigText/Ferguson__Eugene_S_/27106_KinematicsofMechanisms.txt,Ferguson__Eugene_S_
/home/aiadmin/Desktop/datasets/bigText/Pollard__A__F___Albert_Frederick_/6358_TheHistoryof.txt,Pollard__A__F___Albert_Frederick_
/home/aiadmin/Desktop/datasets/bigText/Hodous__Lewis/8390_BuddhismandBuddhists.txt,Hodous__Lewis
/home/aiadmin/Desktop/datasets/bigText/Sarolea__Charles/31161_GermanProblemsand.txt,Sarolea__Charles
/home/aiadmin/Desktop/datasets/bigText/Roth__H__Ling__Henry_Ling_/25731_AncientEgyptianand.txt,Roth__H__Ling__Henry_Ling_
/home/aiadmin/Desktop/datasets/bigText/Brown__Samuel/68583_Elasticandnonelastic.txt,Brown__Samuel
/home/aiadmin/Desktop/datasets/bigText/Laski__Harold_J___Harold_Joseph_/14735_PoliticalThoughtin.txt,Laski__Harold_J___Harold_Joseph_
/home/aiadmin/Desktop/datasets/bigText/Prelini__Charles/60043_TunnelingAPractical.txt,Prelini__Charles
/home/aiadmin/Desktop/datasets/bigText/Murrey__Thomas_J___Thomas_Jefferson_/24205_BreakfastDainties.txt,Murrey__Thomas_J___Thomas_Jefferson_
/home/aiadmin/Desktop/datasets/bigText/Stephen__Caroline_Emelia/61802_QuakerStrongholds.txt,Stephen__Caroline_Emelia
/home/aiadmin/Desktop/datasets/bigText/Lightfoot__J__B___Joseph_Barber_/18191_Essaysonthe.txt,Lightfoot__J__B___Joseph_Barber_
/home/aiadmin/Desktop/datasets/bigText/Masefield__John/70699_Sealifein.txt,Masefield__John
/home/aiadmin/Desktop/datasets/bigText/Babelon__Ernest/50626_ManualofOriental.txt,Babelon__Ernest
/home/aiadmin/Desktop/datasets/bigText/Morrison__Charles_R___Charles_Robert_/67151_TheProofsof.txt,Morrison__Charles_R___Charles_Robert_
/home/aiadmin/Desktop/datasets/bigText/Ball__Robert_S___Robert_Stawell_/61732_ExperimentalMechanics.txt,Ball__Robert_S___Robert_Stawell_
/home/aiadmin/Desktop/datasets/bigText/Ball__Robert_S___Robert_Stawell_/27378_TheStoryof.txt,Ball__Robert_S___Robert_Stawell_
/home/aiadmin/Desktop/datasets/bigText/Ball__Robert_S___Robert_Stawell_/59080_TheEarthsBeginning.txt,Ball__Robert_S___Robert_Stawell_
/home/aiadmin/Desktop/datasets/bigText/Ball__Robert_S___Robert_Stawell_/24236_TimeandTide.txt,Ball__Robert_S___Robert_Stawell_
/home/aiadmin/Desktop/datasets/bigText/Reid__Mayne/70452_Themaneatersand.txt,Reid__Mayne
/home/aiadmin/Desktop/datasets/bigText/Drinkwater__John/67894_VictorianPoetry.txt,Drinkwater__John
/home/aiadmin/Desktop/datasets/bigText/Sumner__William_Graham/65693_TheForgottenMan.txt,Sumner__William_Graham
/home/aiadmin/Desktop/datasets/bigText/Sumner__William_Graham/18603_WhatSocialClasses.txt,Sumner__William_Graham
/home/aiadmin/Desktop/datasets/bigText/Goater__Anne_C_/65624_AShortTreatise.txt,Goater__Anne_C_
/home/aiadmin/Desktop/datasets/bigText/Alsop__George__1638_/57811_ACharacterof.txt,Alsop__George__1638_
/home/aiadmin/Desktop/datasets/bigText/Tooker__William_Wallace/24046_JohnEliotsFirst.txt,Tooker__William_Wallace
/home/aiadmin/Desktop/datasets/bigText/Lippmann__Walter/6456_PublicOpinion.txt,Lippmann__Walter
