custom_id,author,cleaned_text
Redgrove__H__Stanley__Herbert_Stanley_-43240_AlchemyAncientand.txt-7,Redgrove H Stanley Herbert Stanley ,"Several methods of making gold, or rather elements chemically identical with gold, once the method of controlling radioactive change is discovered (as assuredly it will be) are suggested by Sir Ernest Rutherford's theory of the nuclear atom. Thus, the expulsion of two -particles from bismuth or one from thallium would yield the required result. Or lead could be converted into mercury by the expulsion of one -particle, and this into thallium by the expulsion of one -particle, yielding gold by the further expulsion of an -particle. But, as Professor Soddy remarks in his Science and Life just referred to, 'if man ever achieves this further control over Nature, it is quite certain that the last thing he would want to do would be to turn lead or mercury into gold--for the sake of gold. The energy that would be liberated, if the control of these sub-atomic processes were as possible as is the control of ordinary chemical changes, such as combustion, would far exceed in importance and value the gold. Rather it would pay to transmute gold into silver or some base metal.' In 01 of the book I suggest that the question of the effect on the world of finance of the discovery of an inexpensive method of transmuting base metal into gold on a large scale is one that should appeal to a novelist specially gifted with imagination. Since the words were first written a work has appeared in which something approximating to what was suggested has been attempted and very admirably achieved. My reference is to Mr. H. G. Wells's novel, The World Set Free, published in 914. In conclusion I should like to thank the very many reviewers who found so many good things to say concerning the first edition of this book. For kind assistance in reading the proofs of this edition my best thanks are due also and are hereby tendered to my wife, and my good friend Gerald Druce, Esq., M.Sc. H. S. R. 91, ROAD,, N.W.. October, 921. The number of books in the English language dealing with the interesting subject of Alchemy is not sufficiently great to render an apology necessary for adding thereto. Indeed, at the present time there is an actual need for a further contribution on this subject. The time is gone when it was regarded as perfectly legitimate to point to Alchemy as an instance of the aberrations of the human mind. Recent experimental research has brought about profound modifications in the scientific notions regarding the chemical elements, and, indeed, in the scientific concept of the physical universe itself; and a certain resemblance can be traced between these later views and the theories of bygone Alchemy. The spontaneous change of one 'element' into another has been witnessed, and the recent work of Sir William Ramsay suggests the possibility of realising the old alchemistic dream--the transmutation of the 'base' metals into gold. The basic idea permeating all the alchemistic theories appears to have been this: All the metals (and, indeed, all forms of matter) are one in origin, and are produced by an evolutionary process. The Soul of them all is one and the same; it is only the Soul that is permanent; the body or outward form, i.e., the mode of manifestation of the Soul, is transitory, and one form may be transmuted into another. The similarity, indeed it might be said, the identity, between this view and the modern etheric theory of matter is at once apparent. The old alchemists reached the above conclusion by a theoretical method, and attempted to demonstrate the validity of their theory by means of experiment; in which, it appears, they failed. Modern science, adopting the reverse process, for a time lost hold of the idea of the unity of the physical universe, to gain it once again by the experimental method. It was in the elaboration of this grand fundamental idea that Alchemy failed. If I were asked to contrast Alchemy with the chemical and physical science of the nineteenth century I would say that, whereas the latter abounded in a wealth of much accurate detail and much relative truth, it lacked philosophical depth and insight; whilst Alchemy, deficient in such accurate detail, was characterised by a greater degree of philosophical depth and insight; for the alchemists did grasp the fundamental truth of the Cosmos, although they distorted it and made it appear grotesque. The alchemists cast their theories in a mould entirely fantastic, even ridiculous--they drew unwarrantable analogies--and hence their views cannot be accepted in these days of modern science. But if we cannot approve of their theories in toto, we can nevertheless appreciate the fundamental ideas at the root of them. And it is primarily with the object of pointing out this similarity between these ancient ideas regarding the physical universe and the latest products of scientific thought, that this book has been written. It is a regrettable fact that the majority of works dealing with the subject of Alchemy take a one-sided point of view. The chemists generally take a purely physical view of the subject, and instead of trying to understand its mystical language, often (I do not say always) prefer to label it nonsense and the alchemist a fool. On the other hand, the mystics, in many cases, take a purely transcendental view of the subject, forgetting the fact that the alchemists were, for the most part, concerned with operations of a physical nature. For a proper understanding of Alchemy, as I hope to make plain in the first chapter of this work, a synthesis of both points of view is essential; and, since these two aspects are so intimately and essentially connected with one another, this is necessary even when, as in the following work, one is concerned primarily with the physical, rather than the purely mystical, aspect of the subject. Now, the author of this book may lay claim to being a humble student of both Chemistry and what may be generalised under the terms Mysticism and Transcendentalism; and he hopes that this perhaps rather unusual combination of studies has enabled him to take a broad-minded view of the theories of the alchemists, and to adopt a sympathetic attitude towards them. With regard to the illustrations, the author must express his thanks to the authorities of the British Museum for permission to photograph engraved portraits and illustrations from old works in the British Museum Collections, and to G. H. Gabb, Esq., F.C.S., for permission to photograph engraved portraits in his possession. The author's heartiest thanks are also due to Frank E. Weston, Esq., B.Sc., F.C.S., and W. G. Llewellyn, Esq., for their kind help in reading the proofs, &c. H. S. R. THE,, W. October, 910. PAGE I. THE OF. The Aim of Alchemy. The Transcendental Theory of Alchemy. Failure of the Transcendental Theory. The Qualifications of the Adept. Alchemistic Language. Alchemists of a Mystical Type. The Meaning of Alchemy. Opinions of other Writers. The Basic Idea of Alchemy. The Law of Analogy. The Dual Nature of Alchemy. 'Body, Soul and Spirit'. Alchemy, Mysticism and Modern Science 5/8 II. THE OF. Supposed Proofs of Transmutation. The Alchemistic Elements. Aristotle's Views regarding the Elements. The Sulphur-Mercury Theory. The Sulphur-Mercury-Salt Theory. Alchemistic Elements and Principles. The Growth of the Metals. Alchemy and Astrology. Alchemistic View of the Nature of Gold. The Philosopher's Stone. The Nature of the Philosopher's Stone. The Theory of Development. The Powers of the Philosopher's Stone. The Elixir of Life. The Practical Methods of the Alchemists 6 III. THE (A. ). Hermes Trismegistos. The Smaragdine Table. Zosimus of Panopolis. Geber. Other Arabian Alchemists. Albertus Magnus. Thomas Aquinas. Roger Bacon. Arnold de Villanova. Raymond Lully. Peter Bonus. Nicolas Flamel. 'Basil Valentine' and the Triumphal Chariot of Antimony.. Isaac of Holland. Bernard Trevisan. Sir George Ripley. Thomas Norton 6 IV. THE (B. V. THE OF. Did the Alchemists achieve the Magnum Opus?. The Testimony of van Helmont. The Testimony of Helvetius. Helvetius obtains the Philosopher's Stone. Helvetius performs a Transmutation. Helvetius's Gold Assayed. Helvetius's Gold Further Tested. The Genesis of Chemistry. The Degeneracy of Alchemy. 'Count Cagliostro' 1 VI. THE AGE OF. The Birth of Modern Chemistry. The Phlogiston Theory. Boyle and the Definition of an Element. The Stoichiometric Laws. Dalton's Atomic Theory. The Determination of the Atomic Weights of the Elements. Prout's Hypothesis. The 'Periodic Law'. The Corpuscular Theory of Matter. Proof that the Electrons are not Matter. The Electronic Theory of Matter. The Etheric Theory of Matter. Further Evidence of the Complexity of the Atoms."
Redgrove__H__Stanley__Herbert_Stanley_-1271_BygoneBeliefsBeing.txt-2,Redgrove H Stanley Herbert Stanley ,
Redgrove__H__Stanley__Herbert_Stanley_-1271_BygoneBeliefsBeing.txt-18,Redgrove H Stanley Herbert Stanley ,
Redgrove__H__Stanley__Herbert_Stanley_-43240_AlchemyAncientand.txt-13,Redgrove H Stanley Herbert Stanley ,
Redgrove__H__Stanley__Herbert_Stanley_-1271_BygoneBeliefsBeing.txt-5,Redgrove H Stanley Herbert Stanley ,
Huntington__George_S___George_Sumner_-43350_TheAnatomyof.txt-19,Huntington George S  George Sumner ,
Huntington__George_S___George_Sumner_-43350_TheAnatomyof.txt-16,Huntington George S  George Sumner ,
Huntington__George_S___George_Sumner_-43350_TheAnatomyof.txt-12,Huntington George S  George Sumner ,
Foster__J__J___Joshua_James_-47512_ChatsonOld.txt-11,Foster J J  Joshua James ,
Foster__J__J___Joshua_James_-47512_ChatsonOld.txt-0,Foster J J  Joshua James ,
Foster__J__J___Joshua_James_-47512_ChatsonOld.txt-13,Foster J J  Joshua James ,
Foster__J__J___Joshua_James_-47512_ChatsonOld.txt-9,Foster J J  Joshua James ,
Foster__J__J___Joshua_James_-47512_ChatsonOld.txt-5,Foster J J  Joshua James ,
Roger__James_Cruikshank-68323_CelticMSSin.txt-4,Roger James Cruikshank,
Roger__James_Cruikshank-68323_CelticMSSin.txt-6,Roger James Cruikshank,
Roger__James_Cruikshank-68323_CelticMSSin.txt-8,Roger James Cruikshank,
Roger__James_Cruikshank-68323_CelticMSSin.txt-9,Roger James Cruikshank,
Ford__Thomas_K_-58066_TheSilversmithin.txt-5,Ford Thomas K ,
Ford__Thomas_K_-58066_TheSilversmithin.txt-4,Ford Thomas K ,
Ford__Thomas_K_-58066_TheSilversmithin.txt-0,Ford Thomas K ,
Ford__Thomas_K_-58066_TheSilversmithin.txt-8,Ford Thomas K ,
Ford__Thomas_K_-58066_TheSilversmithin.txt-3,Ford Thomas K ,
Shaw__Albert-29641_Thebusinesscareer.txt-9,Shaw Albert,
Shaw__Albert-29641_Thebusinesscareer.txt-6,Shaw Albert,
Shaw__Albert-29641_Thebusinesscareer.txt-5,Shaw Albert,
Shaw__Albert-29641_Thebusinesscareer.txt-1,Shaw Albert,
Shaw__Albert-29641_Thebusinesscareer.txt-2,Shaw Albert,
Sturgis__Russell-47937_Howtojudge.txt-5,Sturgis Russell,
Sturgis__Russell-47937_Howtojudge.txt-8,Sturgis Russell,
Sturgis__Russell-47937_Howtojudge.txt-11,Sturgis Russell,
Sturgis__Russell-47937_Howtojudge.txt-12,Sturgis Russell,
Sturgis__Russell-47937_Howtojudge.txt-2,Sturgis Russell,
Bridgman__E__C___Elijah_Coleman_-54055_LetterstoChildren.txt-15,Bridgman E C  Elijah Coleman ,
