source,custom_id,author,index,table_content
Gutenberg,Collet__Clara_E___Clara_Elizabeth_-68623_Educatedworkingwomen.txt-4,Collet Clara E  Clara Elizabeth ,,"LONDON. St. Shoreditch. Bethnal Whitechapel. Pancras. Green. +---------------+-------+--------+-----------+-------+------------+ =All ages= =182 4= =168 3= =151 8= =157 5= =172 2= 15-20 3,370 3,450 2,066 2,162 2,793 20-25 214 9 194 8 102 2 108 5 153 5 25-35 51 7 48 2 25 2 21 0 31 0 =35-45= =25 4= =24 4= =13 8= =9 4= =14 3= Unmarried } women to } 100 married } 22 2 21 3 12 0 8 6 12 2 women and } widows } 35-45 } +---------------+-------+--------+-----------+-------+------------"
Gutenberg,Stillman__William_James-62044_BillyandHans.txt-2,Stillman William James,,HUNDRED AND FIFTY COPIES OF THIS BOOK PRINTED ON VAN GELDER HAND-MADE PAPER AND THE TYPE DISTRIBUTED IN THE MONTH OF APRIL MDCCCCXIV  -----
Gutenberg,Wedmore__Frederick__Sir-68011_EtchinginEngland.txt-0,Wedmore Frederick Sir,,"COTMAN 22 VIII. SAMUEL PALMER 26 IX. JAMES MCNEIL WHISTLER 30 X. SIR SEYMOUR HADEN 45 XI. ALPHONSE LEGROS 62 XII. WILLIAM STRANG 71 XIII. CHARLES HOLROYD 87 XIV. FRANK SHORT 95 XV. C. J. WATSON 103 XVI. OLIVER HALL 115 XVII. COLONEL GOFF 119 XVIII. D. Y. CAMERON 137 XIX. JOSEPH PENNELL 140 XX. MORTIMER MENPES 144 XXI. L. RAVEN-HILL 148 XXII. R. W. MACBETH, HUBERT HERKOMER, R.A., AND AXEL HAIG 152 XXIII. SOME OTHER ETCHERS 159 XXIV. HELLEU 172 ILLUSTRATIONS. PAGE 1. TWICKENHAM (Frontispiece).....Turner 2. SEINE BRIDGE .....Girtin 7 3. THE RECEIPT.....Wilkie 11 4. PECKHAM RYE.....Geddes 15 5. HALLIFORD ON THAMES..... 17 6. NEAR WHITBY.....Cotman 23 7. THE HERDSMAN.....Samuel Palmer 27 8. THAMES POLICE.....Whistler 33 9. THE PIAZZETTA..... 39 10. TREE STUDY.....Seymour Haden 43 11. THOMAS HADEN, AFTER WRIGHT OF DERBY.....Seymour Haden 47 12. KIDWELLY TOWN..... 49 13. A WATER MEADOW..... 53 14. WINDMILL HILL..... 55 15. SCOTCH FIRS..... 59 16. COMMUNION DANS GLISE ST. MÉDARD.....Legros 63 17. LA MORT ET LE BÛCHERON..... 67 18. THE POTATO BASKET.....William Strang 73 19. THE BOOKSTALL..... 75 20. LORD JUSTICE LINDLEY..... 77 21. MIDNIGHT MASS, MONTE OLIVETO.....Charles Holroyd 81 22. FARM BEHIND SCARBOROUGH.....Charles Holroyd 83 23. ROUND TEMPLE..... 85 24. WROUGHT NAILS.....Frank Short 89 25. SLEEPING TILL THE FLOOD..... 91 26. QUARTER BOYS..... 93 27. MILL BRIDGE, BOSHAM.....C. J. Watson 99 28. ST. ETIENNE DU MONT..... 101 29. LANDSCAPE WITH TREES.....Oliver Hall 107 30. ROADSIDE TREES..... 109 31. TREES ON THE HILL-SIDE..... 111 32. THE EDGE OF THE FOREST..... 113 33. CHAIN PIER, BRIGHTON.....Colonel Goff 117 34. NORFOLK BRIDGE, SHOREHAM..... 123 35. PINE TREES, CHRISTCHURCH..... 127 36. BORDER TOWERS.....D. Y. Cameron 131 37. THE PALACE, STIRLING CASTLE..... 133 38. WINDMILLS, ZANDAAM..... 135 39. LE PUY EN VELAY.....Joseph Pennell 141 40. JAPANESE GIRLS.....Menpes 145 41. WANDLE RIVER.....L. Raven-Hill 149 42. GWENYDD.....Herkomer 153 43. THE OPEN WINDOW.....Elizabeth Armstrong 157 44. AT THE LOOM.....Minna Bolingbroke 161 45. DORKING.....Percy Thomas 163 46. SUNRISE IN WALES.....W. Holmes May 167 47. A HURRYING WIND.....Alfred East 169 48. ETUDE DE JEUNE FILLE.....Helleu 173 49. FEMME À LA TASSE..... 177 50. LE SALON BLANC....."
Gutenberg,Bose__Jagadis_Chandra-48280_LifeMovementsin.txt-17,Bose Jagadis Chandra,,"TABLE XIII.--EFFECT OF INCREASED INTERNAL HYDROSTATIC PRESSURE (Kysoor). +-----------+-----------------------+-------------------+ Specimen. Hydrostatic pressure. Rate of growth. +-----------+-----------------------+-------------------+ Normal 0.18 µ per second. No. I 2 cm. pressure 0.20 µ "" "" 4 cm. "" 0.11 µ "" "" Normal 0.13 µ "" "" No. II 1 cm. pressure 0.20 µ "" "" 3 cm. "" 0.18 µ "" "" 4 cm. "" 0.15 µ "" "" +-----------+-----------------------+-------------------+ RESPONSE TO NEGATIVE VARIATION OF TURGOR. I shall now describe the influence of induced diminution of turgor on the rate of growth.  Method of plasmolysis: Experiment 72.--Being desirous of demonstrating the responsive growth variations of opposite signs in an identical specimen under alternate increase and diminution of turgor, I continued the experiment with the same peduncle of Zephyranthes in which the growth acceleration was induced by irrigation with warm water. In that experiment the growth rate of 0.04 µ per second was enhanced to 0.20 µ per second after irrigation. A strong solution of KNO{3} was now applied at the root; and the growth-rate fell almost immediately to 0.03 µ per second, or nearly to one-third the previous rate, the depression induced being thus greater than under condition of drought (Fig. 71). TABLE XIV.--EFFECT OF ALTERNATE VARIATION OF TURGOR ON GROWTH (Zephyranthes). +--------------------------------+-------------------+ Condition of Experiment. Rate of growth. +--------------------------------+-------------------+ Dry soil 0.04 µ per second. Application of warm water 0.20 µ "" "" Steady growth after 1 hour 0.08 µ "" "" Application of KNO{3} solution 0.03 µ "" "" +--------------------------------+-------------------"
Gutenberg,Bose__Jagadis_Chandra-48280_LifeMovementsin.txt-17,Bose Jagadis Chandra,,"EFFECT OF EXTERNAL TENSION. Experiment 73.--The recording levers are at first so balanced that very little tension is exerted on the plant. Record of normal growth is taken of a specimen of Crinum. The tension is gradually increased from one gram to ten grams. The table given below shows how growth-rate increases with the tension till a limit is reached, after which there is a retardation. TABLE XV.--EFFECT OF TENSION ON GROWTH. +--------------+--------------------+ Tension. Rate of growth. +--------------+--------------------+ 0 (Normal) 0.41 µ per second. 4 grams 0.44 µ "" "" 6 "" 0.48 µ "" "" 8 "" 0.52 µ "" "" 10 "" 0.40 µ "" "" +--------------+--------------------"
Gutenberg,Bose__Jagadis_Chandra-48280_LifeMovementsin.txt-8,Bose Jagadis Chandra,,"TABLE XIX--ACCELERATING EFFECT OF INDIRECT STIMULUS ON GROWTH (Crinum). +----------+--------------------------+--------------------+ Specimen. Condition of experiment. Rate of growth. +----------+--------------------------+--------------------+ I Normal 0.21 µ per second. After Indirect stimulus 0.26 µ "" "" +----------+--------------------------+--------------------+ II Normal 0.25 µ "" "" After Indirect stimulus 0.30 µ "" "" +----------+--------------------------+--------------------"
Gutenberg,Bose__Jagadis_Chandra-48280_LifeMovementsin.txt-3,Bose Jagadis Chandra,,"TABLE 1--PERIODS OF MAXIMUM CONTRACTION AND OF RECOVERY OF DIFFERENT PLANTS. +-------------------------------------+-------------+------------+ Period of Period of Specimen maximum recovery. contraction +-------------------------------------+-------------+------------+ Radial organ: Tendril of Passiflora 100 seconds 4 minutes. Anisotropic organ: Hooked tendril of Passiflora 120 "" 13 "" Pulvinated organ: Pulvinus of Neptunia Oleracea 180 "" 57 "" Pulvinus of Mimosa pudica 3 "" 16 "" +-------------------------------------+-------------+------------"
Gutenberg,Alsop__George__1638_-57811_ACharacterof.txt-13,Alsop George 1638 ,,"FORME OF BINDING A SERVANT.  This indenture made the ...... day of .............. in the ......... yeere of our Soveraigne Lord King Charles &c betweene .............. of the one party, and .............. on the other party, Witnesseth that the said .............. doth hereby covenant, promise and grant to and with the said .............. his Executors and Assignes, to serve him from the day of the date hereof, vntill his first and next arrivall in Maryland, and after for and during the tearme of ...... yeeres, in such service and employment as the said .............. or his assignes shall there employ him, according to the custome of the countrey in the like kind. In consideration whereof, the said .............. doth promise and grant, to and with the said .............. to pay for his passing and to find him with Meat, Drinke, Apparell and Lodging, with other necessaries during the said terme; and at the end of the said terme, to give him one Whole yeeres provision of Corne and fifty acres of Land, according to the order of the countrey. In witnesse whereof, the said .............."
Gutenberg,Jones__Alfred_Stowell-56637_NaturalArtificial.txt-0,Jones Alfred Stowell,,SEPTIC TANK EXPERIMENTS. Rate of Flow and Deposition of Suspended Matters. -----+------------+-----------------------+ Rate of Flow. +-----------------------+ No. Name of Length of Velocity Town. Sojourn of Flow of Sewage per in Tank. minute. -----+------------+-----------+-----------+ days. inches. 1 Exeter 1 0 0 52 2 Manchester 0 44 5 58 3 0 56 4 44 4 Leeds 0 5 1 68 } 5 1 0 0 84 } 6 2 0 0 42 } -----+------------+-----------+-----------+ -----+----------------------------------------------- Suspended Matters in Sewage. -----------+-----------+------------+---------- No. Remaining Destroyed Leaving in and Tank Total. Tank. Liquefied in in Tank. Effluents. -----+-----------+-----------+------------+---------- per cent. per cent. per cent. 1 17 39 44 100 2 41 22 37 100 3 23 33 44 100 4 .. .. .. .. 5 average 28 .. .. say 6 .. .. .. -----+-----------+-----------+------------+----------
Gutenberg,Judd__Charles_Hubbard-56903_Introductiontothe.txt-15,Judd Charles Hubbard,,"TABLE VI. PERCENTAGES OF FAILURES IN THE CHIEF SUBJECTS OF INSTRUCTION IN THE FIVE HIGH SCHOOLS OF DENVER IN JUNE, 1915 ============================================================== East North South West Manual High High High High High School School School School School + -+ - + - + + - English I 23 15 11 9 31 English II 14 16 10 11 23 English III 16 3 2 15 20 English IV 3 1 2 8 13 Mathematics I 23 24 26 28 50 Mathematics II 17 21 28 20 19 Commercial arithmetic 46 16 33 Elementary science 13 9 14 21 7 Botany 21 14 14 14 24 Physics 10 15 18 17 34 Chemistry 0 4 14 6 20 Physiography 11 15 12 History Ancient 12 17 11 10 15 English 12 17 7 5 Medieval and modern 12 9 8 8 13 American 7 Latin I 22 16 10 29 40 Latin II 14 20 14 11 18 German I 20 15 24 5 19 German II 19 2 3 0 0 =============================================================="
