Author,Book
Veblen__Thorstein,833_TheTheoryof.txt
Veblen__Thorstein,69888_Theinstinctof.txt
Veblen__Thorstein,39949_ThePlaceof.txt
Greville__Charles,46310_TheGrevilleMemoirs.txt
Three_Initiates,14209_TheKybalion.txt
Nägeli__Carl,33514_AMechanicoPhysiologicalTheory.txt
Hobbs__William_Herbert,50671_EarthFeaturesand.txt
Casilliano__Michael,49829_TheGeologicalHistory.txt
Ferguson__Eugene_S_,27106_KinematicsofMechanisms.txt
Pollard__A__F___Albert_Frederick_,6358_TheHistoryof.txt
Hodous__Lewis,8390_BuddhismandBuddhists.txt
Sarolea__Charles,31161_GermanProblemsand.txt
Roth__H__Ling__Henry_Ling_,25731_AncientEgyptianand.txt
Brown__Samuel,68583_Elasticandnonelastic.txt
Laski__Harold_J___Harold_Joseph_,14735_PoliticalThoughtin.txt
Prelini__Charles,60043_TunnelingAPractical.txt
Murrey__Thomas_J___Thomas_Jefferson_,24205_BreakfastDainties.txt
Stephen__Caroline_Emelia,61802_QuakerStrongholds.txt
Lightfoot__J__B___Joseph_Barber_,18191_Essaysonthe.txt
Masefield__John,70699_Sealifein.txt
Babelon__Ernest,50626_ManualofOriental.txt
Morrison__Charles_R___Charles_Robert_,67151_TheProofsof.txt
Ball__Robert_S___Robert_Stawell_,61732_ExperimentalMechanics.txt
Ball__Robert_S___Robert_Stawell_,27378_TheStoryof.txt
Ball__Robert_S___Robert_Stawell_,59080_TheEarthsBeginning.txt
Ball__Robert_S___Robert_Stawell_,24236_TimeandTide.txt
Reid__Mayne,70452_Themaneatersand.txt
Drinkwater__John,67894_VictorianPoetry.txt
Sumner__William_Graham,65693_TheForgottenMan.txt
Sumner__William_Graham,18603_WhatSocialClasses.txt
Goater__Anne_C_,65624_AShortTreatise.txt
Alsop__George__1638_,57811_ACharacterof.txt
Tooker__William_Wallace,24046_JohnEliotsFirst.txt
Lippmann__Walter,6456_PublicOpinion.txt
Lippmann__Walter,20125_APrefaceto.txt
Kales__Albert_Martin,68928_Unpopulargovernmentin.txt
Weschcke__Carl,18189_GrowingNutsin.txt
Parry__Albert_William,36553_EducationinEngland.txt
Richter__Luise__1852_,44334_ChantillyinHistory.txt
Coalition_for_Networked_Information,253_TheUniversalCopyright.txt
Wilson__James_Harrison,14429_Heroesofthe.txt
Wheeler__Harold__1877_,50910_TheStoryof.txt
Gilbreth__Lillian_Moller,16256_ThePsychologyof.txt
Durning_Lawrence__Edwin__Sir,47425_TheShakespeareMyth.txt
Birkenhead__Frederick_Edwin_Smith__Earl_of,18636_TheStoryof.txt
Chandler__Walter_M___Walter_Marion_,40966_TheTrialof.txt
Brooks__Henry_M___Henry_Mason_,20467_Handbookofthe.txt
Hine__Charles_De_Lano,45444_Lettersfroman.txt
Googerty__Thomas_F___Thomas_Francis_,69488_Practicalforgingand.txt
Priestley__Joseph,29734_ExperimentsandObservations.txt
MacKendrick__Paul_Lachlan,57308_TheMuteStones.txt
Anderson__J__D___James_Drummond_,55465_ThePeoplesof.txt
Maxwell__Herbert__Sir,39946_TreesAWoodland.txt
Smith__Uriah,12364_TheUnitedStates.txt
Watkins__C__Malcolm,40255_TheCulturalHistory.txt
Horsley__J__W___John_William_,63263_PlaceNamesin.txt
Carus__Paul,56934_TheVenusof.txt
Cary__Elisabeth_Luther,31940_ArtistsPastand.txt
Allen__James,10740_TheWayof.txt
