author,sample_id,compute_herdans_v,compute_brunets_w,tuldava_ln_ttr,simpsons_index,sichel_s_measure,orlov_sigma,pos_frequencies_pos_frequencies_ADJ,pos_frequencies_pos_frequencies_ADP,pos_frequencies_pos_frequencies_ADV,pos_frequencies_pos_frequencies_AUX,pos_frequencies_pos_frequencies_CCONJ,pos_frequencies_pos_frequencies_DET,pos_frequencies_pos_frequencies_INTJ,pos_frequencies_pos_frequencies_NOUN,pos_frequencies_pos_frequencies_NUM,pos_frequencies_pos_frequencies_PART,pos_frequencies_pos_frequencies_PRON,pos_frequencies_pos_frequencies_PROPN,pos_frequencies_pos_frequencies_PUNCT,pos_frequencies_pos_frequencies_SCONJ,pos_frequencies_pos_frequencies_SYM,pos_frequencies_pos_frequencies_VERB,pos_frequencies_pos_frequencies_X,yules_k_characteristic,honores_r,renyis_entropy,perplexity,burstiness,hapax_dislegomena_rate,dugast_vmi,average_word_length,prosodic_patterns,compute_inversion_frequencies_classic_inversion,compute_inversion_frequencies_expletive_inversion,compute_inversion_frequencies_emphatic_inversion,clauses_per_sentence,modifiers_per_noun_phrase,coordinated_phrases_per_sentence,coordinate_phrases_ratio,sentence_length_variation,clause_length_variation,dependent_clauses_ratio,subordination_index,average_sentence_depth,compute_average_dependency_distance,frazier_depth,branching_factor_for_text,compute_hierarchical_structure_complexity,compute_yngve_depth,long_word_rate,short_word_rate,lexical_density,calculate_embedded_clause_ratio,ratio_of_stressed_syllables,pairwise_variability_index,compute_zipfian_loss,frequent_delimiters_rate,preposition_usage_in,preposition_usage_of,preposition_usage_to,preposition_usage_for,preposition_usage_with,preposition_usage_on,preposition_usage_at,preposition_usage_by,preposition_usage_from,preposition_usage_up,preposition_usage_about,preposition_usage_into,preposition_usage_over,preposition_usage_after,lessfrequent_delimiters_rate,parentheticals_and_brackets_rate,calculate_cumulative_syntactic_complexity,average_syntactic_branching_factor,calculate_structural_complexity_index,lexical_overlap,analyze_passiveness_average_passiveness,analyze_passiveness_std_passiveness,ratio_of_cleft_sentences,calculate_noun_overlap,pronoun_sentence_opening_ratio,ratio_of_sentence_initial_conjunctions,calculate_fronted_adverbial_ratio,rare_words_ratio,summer_index,dale_chall_complex_words_rate,guirauds_index,syll_per_word,average_sentence_length,normalized_assonance,normalized_alliteration,tempo_variation,rhythmic_complexity,complex_words_rate,detailed_conjunctions_usage_coordinating,detailed_conjunctions_usage_subordinating,detailed_conjunctions_usage_correlative,auxiliary_infipart_modals_usage_rate_1,auxiliary_infipart_modals_usage_rate_2,auxiliary_infipart_modals_usage_rate_3,auxiliary_infipart_modals_usage_rate_4,sentence_type_ratio_simple,sentence_type_ratio_compound,sentence_type_ratio_complex,sentence_type_ratio_compound-complex,figurative_vs_literal_ratio,flesch_reading_ease,GFI,coleman_liau_index,ari,dale_chall_readability_score,lix,smog_index,rix
Fergusson James,,0.8516763370509354,13.699536085221299,0.8516763370509354,0.9804814907596987,12.759750326741216,8.51668438255268,0.08256880733944955,0.12632321806633734,0.05504587155963303,0.06422018348623854,0.0374029640084686,0.12844036697247707,0.0,0.16372618207480594,0.009880028228652082,0.01834862385321101,0.05575158786167961,0.043754410726887794,0.11009174311926606,0.01834862385321101,0.0,0.08609738884968243,0.0,188.12792938255052,1968.9840262756177,5.679013320980202,1.0036794915414313,0.9661366595370974,0.05081157374735357,164.63585038814398,4.282992237120678,13.0946109741793,0.2631578947368421,0.07894736842105263,0.02631578947368421,3.736842105263158,1.2857142857142858,1.263157894736842,0.6,13.0946109741793,11.43246946309901,5.447368421052632,0.5777777777777777,5.7368421052631575,3.799854967367658,5.7368421052631575,2.7534932980223834,3.104446012702893,15.870363408521301,0.20042342978122796,0.4848270995059986,0.38743824982357095,0.7894736842105263,0.2776639344262295,0.45727780163160153,0.19601332307934927,0.09244883556810163,0.17679558011049723,0.3701657458563536,0.17679558011049723,0.027624309392265192,0.04419889502762431,0.027624309392265192,0.06629834254143646,0.04419889502762431,0.027624309392265192,0.016574585635359115,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0,0.004234297812279464,0.0028228652081863093,85,2.236842105263158,19.763157894736842,0.784756527875794,0.5578947368421052,0.42341442865513196,0.23684210526315788,0.8157894736842105,0.23684210526315788,0.0,0.18421052631578946,0.55257586450247,2.3034283863468294,0.15463917525773196,12.831050244938798,2.755116443189838,37.28947368421053,0.0,0.022435897435897436,20.06507764052314,0.4971025422385204,0.5059985885673959,0.04022582921665491,0.01834862385321101,0.0,0.03175723359209598,0.006351446718419196,0.016231474947071278,0.01058574453069866,0.15789473684210525,0.23684210526315788,0.2631578947368421,0.34210526315789475,0.3684210526315789,60.89,13.98,10.45,15.0,8.32,52.1,13.4,6.39
Fergusson James,,0.8443573412671731,13.981362406231378,0.8443573412671731,0.9833433010095833,13.238344187024898,9.387762411911176,0.08115468409586056,0.1323529411764706,0.06045751633986928,0.07080610021786492,0.0392156862745098,0.11002178649237472,0.0,0.1394335511982571,0.007080610021786492,0.02287581699346405,0.0718954248366013,0.04847494553376906,0.09259259259259259,0.029411764705882353,0.0,0.09368191721132897,0.0005446623093681918,161.120366810486,2099.875689006298,5.907753672746157,1.002887249788922,0.9703168763184152,0.04302832244008715,176.9607843137255,4.257080610021786,21.11635093969387,0.3157894736842105,0.23684210526315788,0.02631578947368421,5.526315789473684,1.2202898550724637,1.8421052631578947,0.7154471544715447,21.11635093969387,11.727920431477134,9.447368421052632,0.7279411764705882,6.815789473684211,4.21412680756396,6.815789473684211,2.69959954295322,3.758714596949891,17.433231753626487,0.19825708061002179,0.4880174291938998,0.3747276688453159,0.9473684210526315,0.28599335807774956,0.47329130723291307,-0.005091341188972004,0.08169934640522876,0.13991769547325103,0.3497942386831276,0.2139917695473251,0.02880658436213992,0.04526748971193416,0.04526748971193416,0.08641975308641975,0.012345679012345678,0.024691358024691357,0.012345679012345678,0.012345679012345678,0.0,0.00411522633744856,0.024691358024691357,0.003812636165577342,0.0010893246187363835,161,4.2368421052631575,26.276315789473685,0.8006535947712419,0.4921052631578947,0.40935223472892185,0.34210526315789475,0.8157894736842105,0.23684210526315788,0.0,0.3684210526315789,0.5070806100217865,2.512452118380865,0.14225690276110445,13.302660798266093,2.7881263616557734,48.31578947368421,0.0,0.03379601689800845,31.443580480959923,0.49003459644257086,0.5076252723311547,0.04793028322440087,0.026688453159041396,0.0,0.022331154684095862,0.013071895424836602,0.0196078431372549,0.020152505446623094,0.05263157894736842,0.05263157894736842,0.3684210526315789,0.5263157894736842,0.39473684210526316,45.26,19.78,10.35,22.0,8.67,65.98,16.1,9.36
Fergusson James,,0.8405184461155432,14.1597063908238,0.8405184461155432,0.9800280728091577,12.833768915459967,10.476341727387934,0.08438356164383562,0.13150684931506848,0.054246575342465755,0.06356164383561644,0.04,0.12273972602739726,0.001095890410958904,0.14794520547945206,0.004931506849315068,0.024657534246575342,0.0547945205479452,0.0547945205479452,0.09698630136986301,0.021369863013698632,0.0,0.09698630136986301,0.0,194.23981985363108,1855.4456195404225,5.645882637437414,1.0028572363985697,0.9491257262085153,0.05315068493150685,166.35671232876712,4.354520547945206,18.3824481256706,0.3333333333333333,0.09523809523809523,0.0,4.523809523809524,1.2432432432432432,1.7380952380952381,0.6796875,18.3824481256706,13.025629954843993,7.857142857142857,0.6870229007633588,6.238095238095238,3.9652271452607963,6.238095238095238,2.6890350868846795,3.4624657534246577,17.22325637325637,0.21205479452054796,0.4926027397260274,0.3835616438356164,0.9047619047619048,0.2764395935265337,0.4513801756587202,0.05781260774844396,0.08986301369863013,0.1532258064516129,0.3185483870967742,0.2862903225806452,0.036290322580645164,0.028225806451612902,0.024193548387096774,0.028225806451612902,0.056451612903225805,0.04032258064516129,0.004032258064516129,0.004032258064516129,0.016129032258064516,0.0,0.004032258064516129,0.004383561643835616,0.001095890410958904,111,2.642857142857143,23.047619047619047,0.8202739726027397,0.6261904761904761,0.40359074261972944,0.35714285714285715,0.8333333333333334,0.11904761904761904,0.0,0.38095238095238093,0.5358904109589041,2.6438937014494264,0.16322815533980584,12.89793442101359,2.9117808219178083,43.45238095238095,0.0,0.018833535844471446,27.065606443495682,0.4981755517967796,0.5265753424657534,0.04767123287671233,0.024657534246575342,0.0,0.0263013698630137,0.007123287671232876,0.019178082191780823,0.01315068493150685,0.07142857142857142,0.09523809523809523,0.35714285714285715,0.47619047619047616,0.35714285714285715,40.15,18.84,10.69,20.9,8.75,64.78,15.4,9.24
Fergusson James,,0.8721791469553278,12.76284177912051,0.8721791469553278,0.9804132412616503,10.557163104764845,4.515812536655052,0.04679376083188908,0.12131715771230503,0.060658578856152515,0.0831889081455806,0.03986135181975736,0.13518197573656845,0.0,0.18024263431542462,0.01559792027729636,0.012131715771230503,0.06412478336221837,0.022530329289428077,0.11785095320623917,0.01733102253032929,0.0,0.08145580589254767,0.0017331022530329288,178.53656485316688,2170.1434936347646,5.673977512893979,1.0084831151791935,0.926543892947265,0.053726169844020795,113.58058925476602,4.124783362218371,16.813197011573973,0.4375,0.0625,0.0,3.25,1.1196581196581197,1.25,0.6511627906976745,16.813197011573973,9.996072994547113,5.3125,0.6097560975609756,4.6875,3.9037433155080214,4.6875,2.8608019396062874,2.781629116117851,16.21830357142857,0.1733102253032929,0.5008665511265165,0.36915077989601386,0.875,0.2923784494086728,0.48044692737430167,0.13150252990310157,0.09878682842287695,0.16666666666666666,0.3484848484848485,0.10606060606060606,0.09090909090909091,0.030303030303030304,0.07575757575757576,0.045454545454545456,0.12121212121212122,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.012131715771230503,0.0034662045060658577,52,3.25,19.65625,0.6863084922010398,0.48125000000000007,0.43763390807843033,0.125,0.6875,0.3125,0.0,0.3125,0.5285961871750433,1.9114076622797487,0.15520628683693516,10.657419446318421,2.637781629116118,36.0625,0.0,0.013806706114398421,24.225422467936447,0.4936015136499751,0.49913344887348354,0.04852686308492201,0.01559792027729636,0.0,0.029462738301559793,0.010398613518197574,0.024263431542461005,0.02079722703639515,0.0625,0.25,0.4375,0.25,0.1875,59.77,14.36,9.41,14.7,8.55,50.09,13.3,5.56
Fergusson James,,0.8556040050315035,13.470682919402886,0.8556040050315035,0.9840467702710385,14.57247824703748,8.999960431696685,0.08711721224920803,0.12249208025343189,0.06282998944033791,0.07391763463569166,0.04171066525871172,0.0966209081309398,0.0,0.1525871172122492,0.02164730728616684,0.017423442449841606,0.07127771911298839,0.03695881731784583,0.10876451953537487,0.022175290390707498,0.0010559662090813093,0.08236536430834214,0.0010559662090813093,154.25246624420583,2195.01656455535,5.970007662821235,1.0028548573089795,0.9940894694677042,0.05279831045406547,214.2391763463569,4.20960929250264,21.36262086561323,0.18181818181818182,0.18181818181818182,0.0,4.5,1.1615598885793872,1.75,0.7092198581560284,21.36262086561323,12.382042202089664,7.0,0.6557377049180327,6.045454545454546,4.071891891891892,6.045454545454546,2.771272545035739,3.4318901795142556,17.553186081595168,0.20380147835269272,0.4978880675818374,0.3848996832101373,0.7727272727272727,0.27860696517412936,0.4554519137986491,-0.04104496308742862,0.09186906019007392,0.22123893805309736,0.3938053097345133,0.168141592920354,0.04424778761061947,0.048672566371681415,0.03982300884955752,0.022123893805309734,0.022123893805309734,0.02654867256637168,0.0,0.008849557522123894,0.004424778761061947,0.0,0.0,0.007391763463569166,0.0031678986272439284,129,2.9318181818181817,22.988636363636363,0.7793030623020063,0.5045454545454545,0.4253098044391478,0.38636363636363635,0.7954545454545454,0.2727272727272727,0.0,0.25,0.5285110876451954,2.3460933679523976,0.17239336492890994,14.636911434669438,2.7592397043294614,43.04545454545455,0.0,0.02872531418312388,29.62969633591741,0.49610825315569534,0.5026399155227033,0.05279831045406547,0.020591341077085535,0.0,0.036430834213305174,0.007391763463569166,0.01583949313621964,0.01795142555438226,0.1590909090909091,0.18181818181818182,0.2727272727272727,0.38636363636363635,0.3409090909090909,50.2,14.64,10.17,15.7,8.66,54.43,13.8,6.89
Williams Edward Huntington,,0.8502874168097314,13.708016103958533,0.8502874168097314,0.9809346884220381,13.95007002352153,10.04930321045164,0.07196162046908315,0.13699360341151387,0.048507462686567165,0.05223880597014925,0.02185501066098081,0.13059701492537312,0.0,0.20202558635394458,0.014392324093816631,0.019722814498933903,0.055970149253731345,0.0255863539445629,0.09594882729211088,0.02931769722814499,0.0,0.09488272921108742,0.0,185.32262537449822,1922.2254443893553,5.712906081039189,1.002849716425024,0.9934457032039423,0.05650319829424307,196.40138592750532,4.349147121535181,17.937937451111818,0.2,0.18,0.0,4.22,1.1826697892271663,0.82,0.5631067961165048,17.937937451111818,10.938924033155967,6.9,0.6474820143884892,5.8,3.9561883899233297,5.8,2.5962083015071507,3.2372068230277184,15.271571428571429,0.21321961620469082,0.464818763326226,0.4173773987206823,0.86,0.27405896532542184,0.44756003098373354,0.20999798281757873,0.08049040511727079,0.13953488372093023,0.40310077519379844,0.17054263565891473,0.031007751937984496,0.06201550387596899,0.05426356589147287,0.031007751937984496,0.031007751937984496,0.03488372093023256,0.007751937984496124,0.015503875968992248,0.015503875968992248,0.003875968992248062,0.0,0.005863539445628998,0.0,150,3.0,20.26,0.8033049040511727,0.502,0.4287143571190496,0.28,0.86,0.38,0.0,0.28,0.5399786780383795,2.4539697630655506,0.14858490566037735,14.014327879977168,2.874733475479744,37.52,0.0,0.026881720430107527,25.786981211456297,0.497242312592284,0.5410447761194029,0.03091684434968017,0.017590618336886993,0.0,0.022388059701492536,0.009594882729211088,0.011727078891257996,0.012260127931769723,0.16,0.08,0.32,0.44,0.38,45.93,16.6,10.92,18.2,8.51,59.25,14.8,8.14
Williams Edward Huntington,,0.8501455796806433,13.748393237836328,0.8501455796806433,0.9809539495963888,13.207396600412096,9.149240316101826,0.06451612903225806,0.12531017369727046,0.04590570719602978,0.06017369727047146,0.021712158808933003,0.1327543424317618,0.0,0.19168734491315137,0.008684863523573201,0.022332506203473945,0.07382133995037221,0.02481389578163772,0.10049627791563276,0.030397022332506202,0.0,0.09739454094292804,0.0,184.25703009069696,2127.744909186207,5.714364333992559,1.00324276279926,1.004798148477643,0.05148883374689826,176.23387096774192,4.240074441687345,21.515295838513172,0.20408163265306123,0.08163265306122448,0.0,3.4693877551020407,1.2177650429799427,0.7346938775510204,0.5111111111111111,21.515295838513172,10.17247129588086,6.142857142857143,0.6065573770491803,5.26530612244898,3.8797184900831736,5.26530612244898,2.689079738636667,3.0055831265508686,14.42088670966222,0.21277915632754343,0.5266749379652605,0.39950372208436724,0.7551020408163265,0.2880658436213992,0.4709055876685935,0.10658445730204054,0.0837468982630273,0.15979381443298968,0.41237113402061853,0.1958762886597938,0.03608247422680412,0.03608247422680412,0.030927835051546393,0.041237113402061855,0.02577319587628866,0.030927835051546393,0.0,0.02577319587628866,0.0,0.0,0.005154639175257732,0.004342431761786601,0.0012406947890818859,134,2.7346938775510203,17.816326530612244,0.7841191066997518,0.41632653061224495,0.43675376651087133,0.32653061224489793,0.7346938775510204,0.2653061224489796,0.0,0.24489795918367346,0.5266749379652605,2.411020564740879,0.15586206896551724,13.27531057895603,2.7133995037220844,32.89795918367347,0.0,0.026573426573426574,32.744387592133094,0.4962878126737427,0.5043424317617866,0.028535980148883373,0.02915632754342432,0.0,0.030397022332506202,0.008684863523573201,0.01054590570719603,0.013027295285359801,0.24489795918367346,0.1836734693877551,0.2857142857142857,0.2857142857142857,0.3469387755102041,51.52,14.34,10.04,15.1,8.13,53.59,13.5,6.8
Williams Edward Huntington,,0.8389033856114807,14.222205129536988,0.8389033856114807,0.9789285012977255,12.937331908436523,11.252457743606536,0.0640495867768595,0.14617768595041322,0.040289256198347105,0.04648760330578512,0.029442148760330578,0.14772727272727273,0.0,0.2097107438016529,0.012396694214876033,0.014462809917355372,0.049586776859504134,0.00981404958677686,0.1115702479338843,0.019111570247933883,0.0,0.09917355371900827,0.0,205.549697766546,1834.3698903400382,5.568563260838029,1.0026972762683337,1.0290765994518662,0.05785123966942149,169.0,4.234504132231405,21.320797979648013,0.24489795918367346,0.04081632653061224,0.0,4.591836734693878,1.28,1.1224489795918366,0.603448275862069,21.320797979648013,11.414734432516644,6.408163265306122,0.6524822695035462,6.020408163265306,4.006359300476947,6.020408163265306,2.617429011712367,3.5139462809917354,15.401048101558303,0.18956611570247933,0.4865702479338843,0.4132231404958678,0.8163265306122449,0.2678146180619161,0.4430457476205097,0.1775730744604891,0.08161157024793389,0.20640569395017794,0.40213523131672596,0.12099644128113879,0.02491103202846975,0.042704626334519574,0.028469750889679714,0.02491103202846975,0.042704626334519574,0.03914590747330961,0.0071174377224199285,0.0071174377224199285,0.028469750889679714,0.0035587188612099642,0.021352313167259787,0.0046487603305785125,0.0,141,2.877551020408163,21.193877551020407,0.8264462809917356,0.4673469387755102,0.4330187134109776,0.2653061224489796,0.8163265306122449,0.12244897959183673,0.0,0.22448979591836735,0.5490702479338843,2.565785064872735,0.14883720930232558,13.0,2.8197314049586777,39.51020408163265,0.0,0.02665876777251185,31.297939488778365,0.49823295639223447,0.5299586776859504,0.03615702479338843,0.01756198347107438,0.0,0.02221074380165289,0.008264462809917356,0.010330578512396695,0.011880165289256199,0.1836734693877551,0.08163265306122448,0.3469387755102041,0.3877551020408163,0.16326530612244897,43.5,17.56,10.69,19.4,8.49,60.72,15.4,8.23
Williams Edward Huntington,,0.8474604363784852,13.84977863705234,0.8474604363784852,0.9810489199459069,13.36306478323849,9.735218701954784,0.08049886621315193,0.1354875283446712,0.05442176870748299,0.06462585034013606,0.021541950113378686,0.12981859410430838,0.0,0.21882086167800455,0.0022675736961451248,0.018140589569160998,0.05102040816326531,0.0045351473922902496,0.10034013605442177,0.022675736961451247,0.0,0.09580498866213152,0.0,183.84186630056408,2036.7590963399225,5.7215761174057365,1.0029681684739344,0.9927144514074986,0.05668934240362812,180.3265306122449,4.3854875283446715,14.815057814812866,0.24528301886792453,0.1320754716981132,0.0,3.4716981132075473,1.1979695431472082,0.7358490566037735,0.47368421052631576,14.815057814812866,9.380190328281577,5.716981132075472,0.6119402985074627,5.754716981132075,3.6487434248977206,5.754716981132075,2.6574844897461576,3.2851473922902494,14.147940057845716,0.2233560090702948,0.4812925170068027,0.44954648526077096,0.8301886792452831,0.2766821345707657,0.44395186827105765,0.025413544156358513,0.09126984126984126,0.1902834008097166,0.3765182186234818,0.1902834008097166,0.008097165991902834,0.05263157894736842,0.032388663967611336,0.020242914979757085,0.044534412955465584,0.04048582995951417,0.012145748987854251,0.004048582995951417,0.016194331983805668,0.008097165991902834,0.004048582995951417,0.003401360544217687,0.0,122,2.30188679245283,17.79245283018868,0.7976190476190477,0.5188679245283018,0.4421459691411513,0.37735849056603776,0.9056603773584906,0.11320754716981132,0.0,0.22641509433962265,0.5538548752834467,2.56438990385976,0.17265280403276623,13.428571428571429,2.931972789115646,33.283018867924525,0.0,0.030476190476190476,22.420144275818625,0.49934483379028155,0.5425170068027211,0.025510204081632654,0.01927437641723356,0.0,0.03231292517006803,0.015306122448979591,0.015306122448979591,0.007369614512471655,0.1509433962264151,0.1509433962264151,0.37735849056603776,0.32075471698113206,0.24528301886792453,40.72,15.95,11.15,16.8,8.37,57.6,16.0,7.63
Williams Edward Huntington,,0.8718731392993219,12.885987856460162,0.8718731392993219,0.9825464245408847,12.224316524116237,5.459033034033286,0.09707602339181287,0.1415204678362573,0.06432748538011696,0.03859649122807018,0.042105263157894736,0.10292397660818714,0.0,0.20701754385964913,0.03508771929824561,0.010526315789473684,0.031578947368421054,0.031578947368421054,0.1111111111111111,0.014035087719298246,0.0,0.07251461988304093,0.0,162.8398481584077,1992.1283023092076,5.840333579199632,1.006002236024311,0.9405146497818909,0.06666666666666667,151.57894736842104,4.445614035087719,19.48165731257514,0.13043478260869565,0.08695652173913043,0.0,3.782608695652174,1.1519607843137254,1.565217391304348,0.6825396825396826,19.48165731257514,12.73459854098275,4.521739130434782,0.54,5.434782608695652,4.0516826923076925,5.434782608695652,2.567012804897067,3.2514619883040936,15.068617855574374,0.23391812865497075,0.4432748538011696,0.4409356725146199,0.6521739130434783,0.2631578947368421,0.4321808510638298,0.07012125603492751,0.09239766081871345,0.2631578947368421,0.41228070175438597,0.09649122807017543,0.03508771929824561,0.07017543859649122,0.017543859649122806,0.008771929824561403,0.02631578947368421,0.03508771929824561,0.0,0.008771929824561403,0.008771929824561403,0.017543859649122806,0.0,0.0035087719298245615,0.0,56,2.4347826086956523,19.804347826086953,0.7216374269005847,0.42173913043478256,0.42524317517630594,0.21739130434782608,0.6956521739130435,0.13043478260869565,0.0,0.13043478260869565,0.5894736842105263,2.052099964882114,0.19078947368421054,12.311740225021849,2.933333333333333,37.17391304347826,0.0,0.017356475300400534,27.603799634349404,0.499474931045343,0.5614035087719298,0.050292397660818715,0.005847953216374269,0.0,0.022222222222222223,0.00935672514619883,0.007017543859649123,0.0011695906432748538,0.13043478260869565,0.34782608695652173,0.17391304347826086,0.34782608695652173,0.08695652173913043,48.27,16.43,11.96,18.1,9.38,60.31,14.8,8.63
